show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,month_added,genre
s2480,Movie,The Lovebirds,Michael Showalter,United States,2020-05-22,2020,R,87 min,"Action & Adventure, Comedies, Romantic Movies",2020,5,Romantic Movies
s2481,TV Show,Trailer Park Boys: The Animated Series,"Norm Hiscock, Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells",Canada,2020-05-22,2020,TV-MA,2 Seasons,TV Comedies,2020,5,TV Comedies
s2482,Movie,#FriendButMarried,Rako Prijanto,Indonesia,2020-05-21,2018,TV-G,102 min,"Dramas, International Movies, Romantic Movies",2020,5,Dramas
s2482,Movie,#FriendButMarried,Rako Prijanto,Indonesia,2020-05-21,2018,TV-G,102 min,"Dramas, International Movies, Romantic Movies",2020,5,International Movies
s2482,Movie,#FriendButMarried,Rako Prijanto,Indonesia,2020-05-21,2018,TV-G,102 min,"Dramas, International Movies, Romantic Movies",2020,5,Romantic Movies
s2483,Movie,Bye Bye London,Almunsif Alsuwaisi,Kuwait,2020-05-21,1981,TV-14,177 min,"Comedies, Dramas, International Movies",2020,5,Comedies
s2483,Movie,Bye Bye London,Almunsif Alsuwaisi,Kuwait,2020-05-21,1981,TV-14,177 min,"Comedies, Dramas, International Movies",2020,5,Dramas
s2483,Movie,Bye Bye London,Almunsif Alsuwaisi,Kuwait,2020-05-21,1981,TV-14,177 min,"Comedies, Dramas, International Movies",2020,5,International Movies
s2486,Movie,Mujeres arriba,Andrés Feddersen,Chile,2020-05-21,2019,TV-14,98 min,"Comedies, International Movies, Romantic Movies",2020,5,Comedies
s2486,Movie,Mujeres arriba,Andrés Feddersen,Chile,2020-05-21,2019,TV-14,98 min,"Comedies, International Movies, Romantic Movies",2020,5,International Movies
s2486,Movie,Mujeres arriba,Andrés Feddersen,Chile,2020-05-21,2019,TV-14,98 min,"Comedies, International Movies, Romantic Movies",2020,5,Romantic Movies
s2489,Movie,Raya and Sakina,Hussein Kamal,Not Given,2020-05-21,1984,TV-14,230 min,"Comedies, Dramas, International Movies",2020,5,Comedies
s2489,Movie,Raya and Sakina,Hussein Kamal,Not Given,2020-05-21,1984,TV-14,230 min,"Comedies, Dramas, International Movies",2020,5,Dramas
s2489,Movie,Raya and Sakina,Hussein Kamal,Not Given,2020-05-21,1984,TV-14,230 min,"Comedies, Dramas, International Movies",2020,5,International Movies
s2488,Movie,No Longer kids,Samir Al Asfory,Egypt,2020-05-21,1979,TV-14,237 min,"Comedies, Dramas, International Movies",2020,5,Comedies
s2488,Movie,No Longer kids,Samir Al Asfory,Egypt,2020-05-21,1979,TV-14,237 min,"Comedies, Dramas, International Movies",2020,5,Dramas
s2488,Movie,No Longer kids,Samir Al Asfory,Egypt,2020-05-21,1979,TV-14,237 min,"Comedies, Dramas, International Movies",2020,5,International Movies
s2491,Movie,The Married Couples,Hassan AbdulSalam,Egypt,2020-05-21,1981,TV-14,195 min,"Comedies, International Movies, Romantic Movies",2020,5,Comedies
s2491,Movie,The Married Couples,Hassan AbdulSalam,Egypt,2020-05-21,1981,TV-14,195 min,"Comedies, International Movies, Romantic Movies",2020,5,International Movies
